late_night_usage,sleep_minutes,total_screen_minutes,social_minutes,doom_scroll_flag,exercise_minutes,resting_heart_rate,pickup_count,stress_label
1,459,148,77,1,57,70,70,1
0,417,235,111,0,42,65,130,1
0,400,171,78,0,49,66,80,0
0,493,278,91,1,43,66,90,1
1,315,142,103,0,43,82,50,2
1,304,423,235,1,29,86,180,2
0,448,507,274,1,23,75,250,2
0,425,369,114,0,37,70,110,1
0,372,60,25,0,47,66,50,0
0,451,501,255,1,24,70,230,2
1,407,128,61,1,43,73,80,1
1,349,150,116,1,59,75,160,2
1,369,720,300,1,13,79,250,2
0,458,241,105,1,49,72,140,1
0,509,229,57,0,35,73,130,0
0,435,193,79,0,47,72,150,0
1,405,233,157,1,41,74,90,2
1,414,275,157,0,46,64,170,2
0,463,252,126,0,36,65,190,1
0,436,344,140,0,33,76,110,1
0,389,171,59,0,50,72,130,1
0,411,554,178,0,30,77,250,2
1,398,381,208,0,35,77,190,2
0,525,269,103,0,59,66,230,1
1,356,720,300,1,7,83,250,2
0,475,120,43,0,41,78,110,0
1,367,576,222,1,23,74,250,2
0,455,126,22,0,56,76,50,0
1,481,151,76,1,43,68,80,1
0,488,706,235,1,8,77,220,2
0,357,559,300,0,16,81,210,2
0,391,214,83,0,41,69,120,1
0,482,111,60,0,61,68,200,0
0,442,309,135,1,42,67,240,2
0,392,272,131,0,52,70,130,1
1,302,538,300,1,24,86,180,2
0,470,222,112,0,47,69,100,1
1,429,314,241,0,43,71,220,2
1,361,135,101,1,55,75,120,2
0,543,119,50,0,67,64,70,0
1,447,340,131,1,50,64,160,2
0,422,321,78,0,43,68,170,1
0,379,104,53,1,55,69,90,1
0,386,647,210,1,9,73,250,2
1,413,393,227,1,40,76,250,2
0,410,64,18,1,46,61,80,0
0,503,138,72,0,49,78,70,0
0,508,356,115,0,31,78,170,1
1,419,282,130,1,32,61,160,2
0,391,115,25,0,54,72,30,0
1,327,248,132,1,39,69,150,2
1,447,180,125,0,51,70,130,1
1,350,569,250,1,11,72,250,2
1,453,200,101,0,44,67,120,1
1,393,60,37,1,50,69,120,1
0,437,117,3,0,61,70,50,0
0,399,437,158,0,30,72,190,2
0,430,305,123,0,42,71,160,1
0,444,60,21,0,55,75,80,0
0,501,494,157,0,26,75,220,2
0,375,394,235,0,35,74,250,2
0,406,263,159,0,40,70,210,2
1,363,143,114,0,64,80,130,2
0,453,353,154,0,27,76,250,2
1,311,299,151,0,44,72,130,2
0,369,125,42,0,55,74,40,0
0,468,187,86,0,54,72,140,0
1,268,459,289,0,26,83,190,2
0,499,329,106,0,34,71,130,1
0,427,246,124,0,51,80,140,1
0,342,166,64,0,42,76,130,2
0,410,96,33,1,61,59,70,0
1,401,489,300,0,30,62,250,0
1,352,451,263,1,27,68,210,2
0,436,323,166,0,41,73,130,2
0,487,238,78,0,34,76,80,0
0,424,348,96,1,52,77,160,2
0,388,321,162,0,38,72,160,2
0,435,191,37,0,50,69,110,0
0,505,212,74,0,51,72,100,0
0,534,444,89,1,38,70,150,2
0,349,466,135,1,24,78,250,2
0,474,386,153,0,30,68,100,1
1,392,199,128,1,50,72,70,2
0,496,199,67,0,47,69,120,0
1,336,720,300,0,11,85,250,0
1,251,720,300,0,8,86,250,2
0,479,322,103,1,40,80,150,2
0,387,209,63,0,54,73,100,1
1,292,720,300,1,10,77,250,2
1,297,720,300,0,8,77,250,2
1,417,597,300,0,23,70,250,2
0,441,200,73,0,36,76,100,0
1,429,454,297,1,26,73,220,2
0,468,60,37,0,49,69,20,0
1,330,585,300,1,17,83,250,2
1,370,210,111,1,45,77,60,2
0,409,587,280,0,18,76,250,2
1,360,60,32,0,52,70,30,1
0,401,163,54,1,36,65,100,1
1,402,389,251,1,48,76,220,2
0,503,280,90,0,33,73,170,1
1,332,217,95,0,45,80,210,2
0,484,193,97,0,50,62,110,0
1,367,277,179,0,27,76,120,2
0,447,242,84,0,40,64,110,0
0,350,152,35,0,45,74,50,1
0,359,564,162,0,20,75,210,2
1,400,519,300,0,25,77,250,2
0,489,190,9,1,43,74,30,0
0,401,346,61,0,31,70,100,1
0,518,135,54,0,55,69,110,0
1,426,221,149,1,36,69,110,2
0,404,60,9,0,54,60,50,0
0,421,241,125,0,44,70,140,1
0,558,255,97,0,44,59,190,0
0,372,107,36,0,45,68,70,0
0,461,105,46,1,54,70,60,0
0,418,306,91,0,35,72,70,1
1,439,295,177,1,30,76,110,2
1,463,491,200,0,28,71,180,2
0,415,60,23,0,53,75,90,0
0,505,92,28,0,53,72,30,0
1,545,720,300,1,10,75,250,2
0,453,322,80,0,39,63,110,0
1,444,663,300,1,21,81,230,2
0,390,131,60,0,45,65,50,0
0,435,118,29,0,61,70,60,0
0,426,415,137,0,31,81,140,2
1,445,60,30,0,65,58,10,0
0,495,216,74,0,54,67,100,0
0,429,354,130,0,38,58,190,1
0,526,195,73,0,58,72,120,0
1,482,720,300,1,16,72,250,2
1,434,354,209,1,33,68,170,2
0,409,307,116,1,40,67,150,2
0,404,109,55,1,47,69,60,2
1,333,720,300,1,13,80,250,2
0,482,240,115,0,53,65,140,1
0,374,171,56,0,54,70,130,1
0,468,230,132,0,43,71,220,1
1,284,467,300,0,22,77,250,2
0,476,138,78,0,50,70,220,1
1,391,517,268,1,20,68,250,2
0,516,60,14,0,61,64,30,0
0,492,65,24,0,71,67,20,0
1,490,427,222,1,23,64,230,2
0,508,605,253,0,28,70,250,2
0,427,60,27,0,48,68,70,0
0,377,134,53,0,45,75,50,1
1,301,120,75,1,43,81,110,2
1,240,257,133,1,45,85,110,2
1,299,362,203,1,38,78,150,2
1,379,291,213,0,42,66,200,2
0,392,60,37,1,45,66,80,1
0,425,60,19,0,58,71,20,0
1,394,108,86,0,43,75,110,1
0,404,117,49,0,53,64,110,0
0,393,134,45,0,50,78,90,0
0,447,182,78,0,64,74,120,0
0,405,240,52,0,46,78,110,1
1,371,304,117,0,43,74,210,2
0,517,720,251,1,14,67,230,1
0,421,701,275,0,19,76,230,2
1,513,416,193,1,32,71,190,2
0,506,124,32,0,50,69,20,0
0,391,133,84,1,49,78,120,1
0,394,312,101,1,36,69,40,2
1,356,134,103,0,41,75,140,2
1,470,475,292,0,36,69,250,2
1,355,313,102,0,55,69,170,2
1,438,720,300,1,11,70,250,2
0,495,94,23,1,53,65,110,0
1,305,720,300,1,10,74,250,2
1,327,419,300,0,27,87,250,2
0,455,94,46,0,44,70,50,0
0,457,429,125,0,33,73,220,2
1,341,262,146,1,41,71,210,2
1,350,286,185,1,44,69,140,2
1,355,171,115,1,47,69,80,2
1,250,601,300,1,11,78,210,2
0,473,720,271,0,22,73,250,2
0,411,95,40,0,55,69,60,0
0,295,406,111,0,24,87,190,2
0,433,224,115,0,43,66,130,1
1,308,530,300,1,15,81,250,0
0,504,205,108,0,49,59,170,1
0,405,186,53,0,51,68,70,0
0,380,720,256,0,23,87,250,2
0,460,244,85,0,43,64,130,0
0,416,482,169,0,19,77,250,2
0,381,99,64,0,45,74,80,1
0,460,594,192,0,20,70,200,2
0,367,173,70,0,48,65,90,1
1,272,102,71,1,37,77,70,2
0,506,126,54,0,46,66,130,0
0,463,240,151,1,37,66,100,2
0,436,278,53,1,54,59,70,0
0,419,158,90,0,51,69,100,0
0,475,270,39,0,39,67,50,0
1,443,140,69,0,55,64,90,1
1,307,306,184,0,42,69,170,2
0,438,114,50,0,54,65,60,0
0,409,307,148,0,41,74,210,2
1,361,365,217,0,29,76,180,2
1,386,208,148,1,43,73,160,2
1,389,575,300,1,22,70,250,2
0,471,424,127,1,35,79,190,2
0,459,270,105,0,49,67,150,1
0,359,109,56,0,31,76,70,1
0,367,720,226,0,5,82,240,2
0,416,205,93,0,50,69,110,1
0,541,317,72,1,42,60,150,1
0,392,60,18,0,50,73,30,0
1,375,404,189,1,25,75,100,2
1,337,598,292,1,20,69,180,2
0,407,172,90,0,51,72,70,0
1,372,412,171,0,23,74,210,2
0,505,301,136,0,41,72,120,1
1,421,710,300,1,13,66,250,2
0,409,253,64,0,42,75,100,1
0,572,153,30,0,54,66,40,0
0,438,72,32,0,63,63,80,0
0,421,364,92,0,34,75,210,1
1,488,720,300,1,12,78,250,2
0,411,112,58,0,45,71,110,0
0,533,428,191,0,35,74,160,2
0,376,507,227,0,35,70,200,2
0,506,124,39,0,46,67,90,0
0,460,521,12,0,23,79,190,1
1,480,114,38,1,52,57,50,1
1,493,613,300,0,21,62,250,2
1,295,62,43,1,44,75,70,2
1,464,60,38,1,66,65,100,1
0,349,76,46,0,77,76,70,1
1,286,434,300,1,26,76,250,2
0,379,193,96,0,42,73,80,1
1,410,714,300,1,11,78,250,2
0,436,205,93,0,39,75,150,1
1,378,154,73,0,57,65,120,1
1,385,395,249,1,34,75,250,2
1,416,531,300,1,34,63,250,2
1,421,472,294,1,40,75,250,2
1,436,426,274,0,42,68,250,2
1,517,653,300,1,15,76,230,2
0,433,218,116,0,44,68,130,1
0,423,535,92,0,25,70,190,1
0,465,60,11,0,62,70,40,0
0,392,555,142,0,32,74,250,2
0,416,541,119,1,22,69,230,2
0,499,248,33,0,54,62,80,1
0,428,273,98,0,32,69,170,1
1,290,508,300,1,20,80,250,2
1,270,720,300,1,8,87,250,2
0,422,154,89,0,60,67,70,0
0,492,200,106,0,53,65,100,0
0,506,93,35,0,44,64,50,0
0,425,464,224,1,25,73,250,2
1,530,537,300,0,23,70,250,2
0,414,133,55,0,48,67,90,0
0,443,271,40,0,49,77,70,0
1,240,547,300,1,14,84,250,2
1,358,431,281,1,32,76,250,2
0,462,237,108,0,46,67,60,0
1,484,145,79,1,53,69,80,1
0,378,81,45,0,64,71,80,0
0,473,593,112,0,21,69,170,2
0,487,130,48,0,45,74,70,0
0,420,82,42,0,55,66,60,0
0,320,60,19,0,56,79,80,1
0,447,437,222,0,51,73,170,2
1,428,231,144,1,46,72,110,2
1,308,720,300,1,5,80,250,2
0,422,119,59,0,43,69,60,0
0,377,66,27,0,48,77,60,0
1,240,153,96,0,40,77,90,2
0,501,270,115,1,36,59,140,1
1,389,720,300,1,7,74,250,2
0,499,453,75,0,39,68,250,2
0,462,343,181,0,35,67,210,2
0,417,635,132,0,21,77,150,2
0,430,196,119,0,48,62,80,0
0,478,175,58,0,47,68,100,0
0,498,543,182,0,28,71,170,2
0,451,214,101,0,39,67,120,1
0,490,105,23,0,56,73,30,0
0,420,60,26,0,57,77,80,0
0,400,115,22,0,66,69,50,1
0,416,252,115,0,43,72,130,1
0,430,85,46,0,49,73,70,0
0,374,392,135,0,31,75,120,2
0,368,62,12,0,49,81,50,0
1,406,157,101,0,51,68,90,1
0,399,511,292,0,23,75,250,2
1,363,682,300,1,9,75,250,0
0,432,272,60,0,42,77,180,0
0,496,181,86,1,45,66,120,1
0,483,89,61,0,53,65,50,0
1,273,702,300,1,7,81,250,2
0,408,508,258,0,17,81,240,2
0,477,195,118,1,51,77,160,1
0,465,191,96,0,62,60,110,0
0,417,111,58,0,60,74,50,0
0,363,214,83,0,46,73,110,1
0,415,60,7,0,68,65,80,0
0,424,251,63,0,42,77,150,1
0,448,431,180,0,39,74,120,2
0,505,197,143,0,62,72,130,1
1,311,498,300,1,22,80,250,2
1,318,519,267,1,28,75,230,2
0,429,254,110,0,54,70,150,0
1,447,355,220,0,46,71,110,2
1,258,551,300,1,10,76,250,2
0,492,147,93,0,44,74,120,1
0,411,73,36,0,71,75,60,2
1,323,720,300,1,10,85,250,2
0,354,366,125,1,32,70,180,2
0,485,60,18,0,57,67,20,0
1,378,489,209,1,23,78,250,2
0,428,60,35,0,62,68,50,0
1,296,96,60,0,47,73,130,2
1,337,410,300,1,32,81,250,2
1,325,720,300,1,11,77,250,2
0,429,720,193,0,12,66,250,2
0,401,642,300,0,26,77,250,2
0,343,60,22,0,60,78,70,1
0,556,558,300,0,28,70,190,2
0,381,471,176,1,28,77,170,2
0,444,415,259,0,35,63,250,2
0,361,160,7,0,44,73,70,0
0,320,251,129,0,36,74,100,2
0,439,297,118,0,35,78,130,1
1,402,560,245,1,24,79,230,0
1,463,563,300,1,27,70,250,2
1,402,349,198,0,39,70,180,2
0,427,185,100,0,35,80,90,1
1,323,426,173,1,25,84,140,2
1,479,720,293,1,11,69,220,2
0,481,411,133,0,36,70,230,2
0,372,465,212,0,22,78,230,2
0,436,298,149,0,39,73,120,1
0,427,79,31,0,43,75,60,0
0,417,138,62,0,53,67,50,0
0,473,408,177,0,33,75,250,2
1,418,696,300,1,8,75,250,2
0,425,452,259,1,31,77,250,2
0,435,285,77,0,41,68,80,0
1,494,476,193,1,27,68,250,2
0,481,243,99,1,48,72,110,1
1,380,89,51,0,54,73,110,1
0,353,88,43,0,45,72,30,1
1,414,616,300,1,8,75,250,2
0,484,209,67,0,45,70,60,0
0,312,60,16,0,49,80,100,1
0,447,246,42,0,37,71,110,0
1,345,153,94,0,47,75,80,2
1,359,134,96,1,49,70,70,2
0,389,60,27,0,50,75,90,0
1,349,163,89,1,52,73,90,2
0,504,60,21,0,62,79,50,0
0,412,95,35,0,44,68,60,0
1,442,552,300,0,29,72,230,2
0,394,288,119,0,41,72,160,2
0,472,454,44,0,34,71,190,1
1,360,430,256,1,29,82,250,2
1,384,60,39,1,50,62,70,1
1,390,308,133,1,44,76,150,2
1,404,223,151,0,42,71,120,2
0,306,86,30,0,54,77,80,2
1,290,96,45,1,54,74,50,1
0,455,330,158,1,37,71,180,2
1,240,293,234,1,41,80,250,2
0,408,74,28,1,67,65,100,0
0,432,60,27,0,53,68,50,0
0,393,399,176,1,27,84,230,2
0,415,421,183,0,25,72,250,2
0,463,429,157,0,43,70,170,2
1,460,613,300,0,24,79,250,2
1,322,613,300,0,15,82,250,2
0,421,376,51,0,25,72,110,1
1,338,232,147,1,49,73,110,2
0,313,336,165,1,22,76,190,2
0,457,281,109,0,46,80,70,1
0,481,98,26,0,53,65,50,0
1,431,297,237,1,42,65,230,2
1,314,720,300,0,4,77,250,2
0,372,266,69,0,53,66,180,1
0,451,349,129,0,39,72,150,1
0,491,96,31,0,52,74,40,0
0,457,124,37,0,38,69,70,0
0,464,282,82,0,48,66,200,1
0,507,224,24,1,50,74,130,0
1,338,296,145,0,34,76,230,2
1,374,147,84,0,46,59,120,2
0,531,122,26,0,66,59,40,0
0,425,60,23,0,51,72,40,0
0,386,165,41,0,48,79,70,0
1,328,301,167,1,46,75,140,2
1,309,319,132,0,19,80,180,2
1,400,720,300,1,6,75,250,2
0,405,60,18,0,55,74,40,0
1,393,720,300,1,8,69,250,2
0,398,341,177,0,26,75,140,2
0,343,270,104,0,37,75,80,2
0,435,76,37,0,61,68,90,0
0,427,116,72,0,44,67,130,1
1,426,604,300,1,22,73,250,2
1,342,200,81,0,51,69,80,2
0,381,287,111,0,44,70,140,2
0,455,208,36,0,41,73,30,0
0,525,249,57,0,39,71,130,0
0,450,403,105,0,40,63,160,1
0,456,74,17,0,55,74,60,0
1,352,258,133,0,47,71,100,2
1,266,302,203,1,34,81,200,2
1,442,519,300,1,31,70,230,2
1,438,720,300,0,13,73,250,2
0,470,68,35,0,55,75,50,0
0,440,252,41,0,45,66,110,0
0,479,76,26,0,50,70,10,0
0,479,208,78,0,42,66,140,0
1,473,410,290,1,38,72,230,2
0,484,145,62,0,56,59,60,0
0,438,474,246,0,26,67,250,2
0,384,354,131,0,43,80,140,2
1,385,447,300,1,24,65,180,2
0,447,231,68,1,44,68,120,1
1,439,598,281,0,26,69,250,2
1,484,720,291,0,11,75,250,2
0,430,242,65,0,60,65,170,0
0,555,182,71,1,57,70,130,1
1,251,720,291,0,5,80,250,2
0,470,285,68,0,35,66,90,0
1,319,300,163,0,30,73,170,2
0,354,384,107,0,34,74,140,2
0,409,60,23,0,54,72,30,0
1,272,102,53,0,54,72,110,0
1,363,60,47,0,56,70,40,1
1,377,60,34,1,54,74,90,1
1,453,142,72,0,51,66,90,1
1,284,262,137,0,44,74,150,2
1,438,223,135,1,56,66,150,2
1,381,307,243,1,45,75,120,2
0,486,267,99,0,32,70,150,1
0,413,150,67,0,45,77,80,1
1,296,494,187,0,23,81,240,2
0,389,597,136,0,19,70,220,2
0,370,720,243,0,14,77,250,0
0,458,558,140,0,15,76,220,2
0,508,686,277,0,18,68,250,2
0,406,195,82,0,43,74,80,1
0,451,60,30,1,59,66,80,0
1,268,291,127,0,33,78,140,2
0,459,97,19,0,48,75,20,0
0,483,237,61,0,51,65,130,0
0,377,75,13,0,56,70,50,0
0,439,273,26,0,32,71,90,0
0,485,127,50,0,49,73,50,0
1,240,190,123,1,37,76,220,2
0,516,549,227,1,28,74,220,2
1,414,418,221,0,43,78,240,2
0,455,165,72,0,45,71,80,0
0,429,456,235,0,33,63,250,2
0,348,270,136,0,38,81,200,2
0,461,375,119,0,33,71,110,1
1,354,258,206,0,36,84,180,2
1,392,645,300,1,14,74,250,2
0,489,60,31,0,41,76,80,0
0,458,145,95,0,61,79,130,1
0,516,204,88,0,56,60,70,0
0,427,116,56,0,50,67,60,0
1,341,338,177,0,39,74,140,2
0,440,469,145,1,24,79,170,2
1,404,639,300,1,22,69,250,2
0,470,203,103,0,50,75,130,1
0,361,515,190,0,32,74,250,2
0,435,78,29,0,54,66,70,0
0,530,200,28,0,55,66,60,0
1,358,275,158,1,45,79,150,2
0,496,579,297,0,18,75,250,2
1,409,473,300,0,24,70,190,2
0,482,577,212,0,20,82,250,2
1,318,70,45,1,50,76,80,2
0,409,312,137,0,27,76,170,2
1,391,378,161,1,35,85,140,2
1,267,60,46,1,46,82,40,2
1,371,186,73,0,52,77,90,0
0,447,79,28,0,65,67,60,0
1,514,528,238,1,29,72,250,2
0,455,467,243,0,22,70,190,2
0,466,154,44,0,45,69,70,0
0,508,90,36,0,71,69,20,0
0,386,61,23,0,43,67,40,0
1,378,720,300,0,9,81,250,2
0,571,138,57,0,65,71,100,0
0,416,60,32,0,46,71,70,0
0,490,127,67,0,49,72,70,0
0,468,60,36,0,61,68,30,0
1,286,392,298,0,30,71,210,2
0,450,201,103,0,48,62,110,0
0,442,153,63,0,35,68,80,0
0,451,60,24,0,59,75,20,0
1,322,314,242,1,35,71,250,2
1,296,275,173,0,45,73,170,2
1,341,300,195,0,36,86,210,2
0,415,111,69,0,49,68,80,0
0,479,273,128,0,46,58,130,1
0,510,325,134,1,31,69,160,2
0,519,74,26,0,59,65,50,0
0,478,324,115,0,44,69,120,1
1,289,593,300,1,16,80,210,2
0,429,720,43,0,19,83,250,2
0,460,277,70,0,35,72,120,1
1,330,226,143,1,33,73,150,2
1,415,583,300,0,22,70,250,2
0,456,114,74,0,54,67,60,0
0,476,528,176,0,26,77,220,2
0,486,186,64,0,62,74,110,0
0,404,127,42,0,67,64,100,0
0,496,264,45,1,53,69,110,1
0,415,200,73,0,54,65,100,0
1,294,217,173,1,35,75,130,2
1,412,60,35,0,59,72,40,0
0,495,419,172,0,33,73,250,2
0,459,416,124,0,21,69,200,2
0,421,229,100,0,66,77,120,1
1,396,487,300,1,31,76,250,2
0,426,72,36,0,49,75,50,0
0,378,60,38,0,60,71,50,0
0,372,238,111,0,38,74,160,2
0,431,183,54,0,38,74,80,0
1,380,374,299,1,43,73,250,2
0,435,60,16,0,66,71,30,0
0,468,332,124,0,36,75,160,1
0,439,107,35,0,54,62,50,0
0,448,60,32,1,72,68,80,0
1,364,720,300,1,11,71,250,1
1,502,720,300,1,13,68,230,2
0,424,60,38,0,48,74,110,0
0,552,110,60,0,50,72,70,0
0,467,188,92,0,64,73,160,1
0,409,396,168,1,35,72,220,2
0,390,351,154,0,28,73,170,2
1,273,84,55,0,50,80,50,2
0,400,260,33,0,38,76,80,0
0,391,157,59,0,59,66,80,0
0,454,161,75,0,57,71,110,0
1,338,189,112,0,51,72,100,0
0,429,126,55,0,58,67,60,0
1,464,520,300,1,19,76,220,2
0,445,209,90,0,40,72,190,1
0,538,188,80,0,50,70,90,0
1,307,636,187,0,18,70,210,2
0,427,274,145,0,39,69,90,1
1,352,640,244,1,16,79,250,2
0,481,91,26,0,51,74,40,0
0,323,204,88,0,47,74,150,2
0,347,159,85,0,43,73,60,1
0,429,176,60,0,49,63,110,0
0,497,121,70,1,53,66,80,0
